Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Customer_Type,State,City,Country,Product_ID,Category,Sub_Category,Product_Name,Unit_Price_INR,Quantity,Discount_Pct,Sales_INR,Cost_INR,Profit_INR,Payment_Method,Delivery_Days,Customer_Rating,Returned,Return_Reason,Year,Month,Month_Name,Quarter,Profit_Margin_Pct
ORD00011,2025-10-10,2025-10-14,Express Delivery,CUST0177,Meera Patel,Small Business,Uttar Pradesh,Kanpur,India,9,Home Appliances,Kitchen Appliances,Philips Air Fryer,8679.63,2,0.05,16491.3,13284.48,3206.82,Wallet,4,3.8,No,Not Applicable,2025,10,October,Q4,19.45
ORD00012,2025-03-19,2025-03-22,Standard Delivery,CUST0110,Rahul Sharma,Consumer,Maharashtra,Mumbai,India,13,Home & Furniture,Furniture,Nilkamal Office Chair,8163.46,1,0.2,6530.77,5447.76,1083.01,Credit Card,3,4.5,No,Not Applicable,2025,3,March,Q1,16.58
ORD00013,2025-09-16,2025-09-22,Standard Delivery,CUST0123,Ravi Patel,Small Business,Tamil Nadu,Chennai,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,31742.99,2,0.2,50788.78,48902.05,1886.73,Debit Card,6,3.6,No,Not Applicable,2025,9,September,Q3,3.71
ORD00014,2025-09-09,2025-09-11,Express Delivery,CUST0038,Isha Gupta,Consumer,Delhi,Delhi,India,15,Home & Furniture,Home Decor,LED Table Lamp,1283.23,2,0.2,2053.17,1501.26,551.91,Debit Card,2,4.0,No,Not Applicable,2025,9,September,Q3,26.88
ORD00015,2025-05-13,2025-05-17,Standard Delivery,CUST0029,Meera Patel,Small Business,Maharashtra,Mumbai,India,10,Home Appliances,Kitchen Appliances,Prestige Mixer Grinder,4817.38,3,0.0,14452.14,10576.11,3876.03,Debit Card,4,2.8,No,Not Applicable,2025,5,May,Q2,26.82
ORD00016,2025-12-02,2025-12-09,Standard Delivery,CUST0095,Sanjay Iyer,Corporate,Telangana,Warangal,India,8,Electronics,Audio,boAt Airdopes 141,1488.41,1,0.15,1265.15,920.21,344.94,Debit Card,7,4.9,No,Not Applicable,2025,12,December,Q4,27.26
ORD00017,2025-10-04,2025-10-09,Standard Delivery,CUST0005,Sanjay Nair,Corporate,Tamil Nadu,Coimbatore,India,6,Electronics,Televisions,Samsung 43-inch Smart TV,41988.81,1,0.1,37789.93,33227.18,4562.75,UPI,5,3.6,No,Not Applicable,2025,10,October,Q4,12.07
ORD00018,2025-12-16,2025-12-20,Standard Delivery,CUST0107,Rohan Iyer,Consumer,West Bengal,Kolkata,India,17,Fashion,Womens Wear,Biba Kurti,2548.63,1,0.15,2166.34,1422.55,743.79,Credit Card,4,4.1,No,Not Applicable,2025,12,December,Q4,34.33
ORD00019,2025-03-19,2025-03-24,Standard Delivery,CUST0130,Pooja Joshi,Consumer,Rajasthan,Jodhpur,India,19,Beauty & Personal Care,Skincare,Lakme Face Cream,699.65,3,0.2,1679.16,1172.25,506.91,Credit Card,5,3.6,No,Not Applicable,2025,3,March,Q1,30.19
ORD00020,2025-07-21,2025-07-24,Express Delivery,CUST0039,Ananya Patel,Small Business,Tamil Nadu,Madurai,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,31923.38,1,0.05,30327.21,24782.66,5544.55,Debit Card,3,3.4,No,Not Applicable,2025,7,July,Q3,18.28
ORD00021,2025-04-21,2025-04-26,Standard Delivery,CUST0008,Ananya Gupta,Consumer,Delhi,Delhi,India,19,Beauty & Personal Care,Skincare,Lakme Face Cream,721.35,1,0.05,685.28,392.52,292.76,UPI,5,3.9,No,Not Applicable,2025,4,April,Q2,42.72
ORD00022,2025-12-16,2025-12-20,Standard Delivery,CUST0075,Sneha Iyer,Consumer,Karnataka,Mysuru,India,9,Home Appliances,Kitchen Appliances,Philips Air Fryer,8934.49,1,0.1,8041.04,6688.13,1352.91,Wallet,4,2.7,No,Not Applicable,2025,12,December,Q4,16.83
ORD00023,2025-05-14,2025-05-16,Express Delivery,CUST0118,Divya Rao,Corporate,Maharashtra,Pune,India,19,Beauty & Personal Care,Skincare,Lakme Face Cream,700.96,3,0.15,1787.45,1168.36,619.09,Wallet,2,4.6,No,Not Applicable,2025,5,May,Q2,34.64
ORD00024,2025-05-20,2025-05-24,Standard Delivery,CUST0047,Kavya Kulkarni,Consumer,Kerala,Thiruvananthapuram,India,6,Electronics,Televisions,Samsung 43-inch Smart TV,42934.12,2,0.0,85868.24,67131.01,18737.23,UPI,4,3.6,Yes,Size/Fit Issue,2025,5,May,Q2,21.82
ORD00025,2025-01-13,2025-01-15,Express Delivery,CUST0168,Shreya Gupta,Corporate,Rajasthan,Jaipur,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,52876.25,1,0.0,52876.25,41764.19,11112.06,Cash on Delivery,2,4.6,No,Not Applicable,2025,1,January,Q1,21.02
ORD00026,2025-05-17,2025-05-19,Express Delivery,CUST0162,Rahul Shetty,Consumer,Maharashtra,Nagpur,India,1,Electronics,Smartphones,Samsung Galaxy S24,71913.21,3,0.1,194165.67,158498.59,35667.08,UPI,2,4.1,No,Not Applicable,2025,5,May,Q2,18.37
ORD00027,2025-01-05,2025-01-09,Express Delivery,CUST0083,Vikram Kulkarni,Corporate,Kerala,Thiruvananthapuram,India,4,Electronics,Laptops,HP 15s Laptop,58838.89,1,0.1,52955.0,45368.82,7586.18,Debit Card,4,5.0,No,Not Applicable,2025,1,January,Q1,14.33
ORD00028,2025-05-25,2025-05-31,Standard Delivery,CUST0053,Manish Gupta,Corporate,Uttar Pradesh,Noida,India,7,Electronics,Audio,Sony WH-1000XM5 Headphones,30296.4,1,0.2,24237.12,22277.12,1960.0,Debit Card,6,2.9,No,Not Applicable,2025,5,May,Q2,8.09
ORD00029,2025-08-19,2025-08-22,Express Delivery,CUST0155,Rohan Rao,Consumer,Rajasthan,Jodhpur,India,1,Electronics,Smartphones,Samsung Galaxy S24,68000.55,3,0.15,173401.4,159128.17,14273.23,Cash on Delivery,3,3.0,No,Not Applicable,2025,8,August,Q3,8.23
ORD00030,2025-12-31,2026-01-03,Express Delivery,CUST0180,Vikram Singh,Corporate,Telangana,Hyderabad,India,8,Electronics,Audio,boAt Airdopes 141,1525.65,1,0.05,1449.37,911.88,537.49,Credit Card,3,4.6,No,Not Applicable,2025,12,December,Q4,37.08
ORD00031,2025-03-10,2025-03-15,Standard Delivery,CUST0148,Vikram Sharma,Corporate,Maharashtra,Pune,India,8,Electronics,Audio,boAt Airdopes 141,1494.44,2,0.05,2839.44,1848.31,991.13,Credit Card,5,4.1,No,Not Applicable,2025,3,March,Q1,34.91
ORD00032,2025-11-20,2025-11-26,Standard Delivery,CUST0133,Aditya Mehta,Corporate,West Bengal,Howrah,India,10,Home Appliances,Kitchen Appliances,Prestige Mixer Grinder,4826.6,3,0.05,13755.81,10233.71,3522.1,Net Banking,6,4.2,No,Not Applicable,2025,11,November,Q4,25.6
ORD00033,2025-04-11,2025-04-15,Standard Delivery,CUST0149,Sneha Shetty,Consumer,Maharashtra,Pune,India,1,Electronics,Smartphones,Samsung Galaxy S24,70510.14,3,0.1,190377.38,161018.31,29359.07,Cash on Delivery,4,4.5,Yes,Wrong Product,2025,4,April,Q2,15.42
ORD00034,2025-03-16,2025-03-21,Standard Delivery,CUST0038,Isha Gupta,Consumer,Tamil Nadu,Coimbatore,India,2,Electronics,Smartphones,Apple iPhone 15,67287.68,4,0.1,242235.65,221349.23,20886.42,UPI,5,2.7,Yes,Wrong Product,2025,3,March,Q1,8.62
ORD00035,2025-10-12,2025-10-15,Standard Delivery,CUST0063,Arjun Kumar,Corporate,Tamil Nadu,Coimbatore,India,18,Fashion,Footwear,Campus Running Shoes,2280.11,2,0.0,4560.22,2545.19,2015.03,Wallet,3,3.8,No,Not Applicable,2025,10,October,Q4,44.19
ORD00036,2025-08-03,2025-08-06,Express Delivery,CUST0179,Arjun Shetty,Consumer,Maharashtra,Nagpur,India,17,Fashion,Womens Wear,Biba Kurti,2511.96,1,0.1,2260.76,1412.22,848.54,Credit Card,3,4.3,No,Not Applicable,2025,8,August,Q3,37.53
ORD00037,2025-04-24,2025-04-27,Express Delivery,CUST0166,Kavya Kumar,Consumer,Rajasthan,Jodhpur,India,1,Electronics,Smartphones,Samsung Galaxy S24,71417.16,1,0.0,71417.16,53262.26,18154.9,Cash on Delivery,3,4.9,No,Not Applicable,2025,4,April,Q2,25.42
ORD00038,2025-11-19,2025-11-25,Standard Delivery,CUST0072,Aditya Mishra,Consumer,Karnataka,Mangaluru,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,51880.1,1,0.1,46692.09,40502.61,6189.48,Cash on Delivery,6,2.6,No,Not Applicable,2025,11,November,Q4,13.26
ORD00039,2025-06-14,2025-06-17,Express Delivery,CUST0142,Priya Shetty,Corporate,Tamil Nadu,Coimbatore,India,7,Electronics,Audio,Sony WH-1000XM5 Headphones,30825.23,2,0.15,52402.89,43981.5,8421.39,Debit Card,3,3.4,No,Not Applicable,2025,6,June,Q2,16.07
ORD00040,2025-07-14,2025-07-15,Same Day Delivery,CUST0119,Rohan Patel,Consumer,Tamil Nadu,Chennai,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,52719.23,2,0.1,94894.61,81976.44,12918.17,Cash on Delivery,1,4.8,No,Not Applicable,2025,7,July,Q3,13.61
ORD00041,2025-07-21,2025-07-25,Standard Delivery,CUST0158,Divya Rao,Consumer,Gujarat,Surat,India,17,Fashion,Womens Wear,Biba Kurti,2547.32,2,0.1,4585.18,2934.6,1650.58,Debit Card,4,4.6,No,Not Applicable,2025,7,July,Q3,36.0
ORD00042,2025-11-22,2025-11-24,Express Delivery,CUST0146,Sanjay Singh,Consumer,Gujarat,Surat,India,4,Electronics,Laptops,HP 15s Laptop,57550.43,2,0.0,115100.86,90986.16,24114.7,UPI,2,4.8,No,Not Applicable,2025,11,November,Q4,20.95
ORD00043,2025-10-14,2025-10-20,Standard Delivery,CUST0134,Simran Mehta,Consumer,Rajasthan,Jodhpur,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32177.57,2,0.1,57919.63,51014.32,6905.31,Credit Card,6,3.9,No,Not Applicable,2025,10,October,Q4,11.92
ORD00044,2025-01-29,2025-02-02,Express Delivery,CUST0149,Sneha Shetty,Consumer,Uttar Pradesh,Noida,India,4,Electronics,Laptops,HP 15s Laptop,58298.06,3,0.05,166149.47,136303.85,29845.62,Cash on Delivery,4,3.9,No,Not Applicable,2025,1,January,Q1,17.96
ORD00045,2025-02-05,2025-02-08,Standard Delivery,CUST0148,Vikram Sharma,Corporate,Maharashtra,Nagpur,India,17,Fashion,Womens Wear,Biba Kurti,2465.86,2,0.1,4438.55,2947.14,1491.41,Cash on Delivery,3,3.9,No,Not Applicable,2025,2,February,Q1,33.6
ORD00046,2025-02-08,2025-02-15,Standard Delivery,CUST0035,Sneha Kulkarni,Small Business,Uttar Pradesh,Lucknow,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32220.92,2,0.05,61219.75,49582.92,11636.83,UPI,7,4.8,No,Not Applicable,2025,2,February,Q1,19.01
ORD00047,2025-11-07,2025-11-08,Same Day Delivery,CUST0047,Kavya Kulkarni,Consumer,Karnataka,Mangaluru,India,8,Electronics,Audio,boAt Airdopes 141,1525.87,2,0.15,2593.98,1814.82,779.16,Net Banking,1,4.0,No,Not Applicable,2025,11,November,Q4,30.04
ORD00048,2025-01-26,2025-01-28,Express Delivery,CUST0047,Kavya Kulkarni,Consumer,Karnataka,Mangaluru,India,17,Fashion,Womens Wear,Biba Kurti,2582.06,1,0.1,2323.85,1409.45,914.4,Net Banking,2,4.3,No,Not Applicable,2025,1,January,Q1,39.35
ORD00049,2025-08-03,2025-08-08,Standard Delivery,CUST0082,Meera Nair,Consumer,Rajasthan,Jodhpur,India,7,Electronics,Audio,Sony WH-1000XM5 Headphones,30336.8,2,0.1,54606.24,45405.45,9200.79,Credit Card,5,2.6,No,Not Applicable,2025,8,August,Q3,16.85
ORD00050,2025-12-30,2026-01-03,Standard Delivery,CUST0039,Ananya Patel,Small Business,Tamil Nadu,Chennai,India,4,Electronics,Laptops,HP 15s Laptop,58574.04,3,0.05,166936.01,139661.16,27274.85,UPI,4,4.7,No,Not Applicable,2025,12,December,Q4,16.34
ORD00051,2025-09-08,2025-09-13,Standard Delivery,CUST0013,Priya Patel,Small Business,Gujarat,Vadodara,India,7,Electronics,Audio,Sony WH-1000XM5 Headphones,29002.83,1,0.0,29002.83,21875.76,7127.07,UPI,5,3.9,No,Not Applicable,2025,9,September,Q3,24.57
ORD00052,2025-12-06,2025-12-10,Standard Delivery,CUST0133,Aditya Mehta,Corporate,Rajasthan,Jaipur,India,3,Electronics,Smartphones,OnePlus Nord CE 4,25704.62,2,0.05,48838.78,38491.46,10347.32,Net Banking,4,3.6,Yes,Damaged Product,2025,12,December,Q4,21.19
ORD00053,2025-12-10,2025-12-15,Standard Delivery,CUST0140,Kavya Shetty,Consumer,West Bengal,Kolkata,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,54597.16,1,0.05,51867.3,42607.38,9259.92,UPI,5,4.6,No,Not Applicable,2025,12,December,Q4,17.85
ORD00054,2025-11-26,2025-11-27,Same Day Delivery,CUST0107,Rohan Iyer,Consumer,Maharashtra,Pune,India,9,Home Appliances,Kitchen Appliances,Philips Air Fryer,8891.1,1,0.15,7557.44,6327.56,1229.88,Net Banking,1,5.0,No,Not Applicable,2025,11,November,Q4,16.27
ORD00055,2025-08-29,2025-09-01,Express Delivery,CUST0061,Karan Kumar,Consumer,Tamil Nadu,Madurai,India,18,Fashion,Footwear,Campus Running Shoes,2268.92,2,0.25,3403.38,2594.29,809.09,UPI,3,4.1,No,Not Applicable,2025,8,August,Q3,23.77
ORD00056,2025-11-19,2025-11-22,Standard Delivery,CUST0123,Ravi Patel,Small Business,Karnataka,Bengaluru,India,3,Electronics,Smartphones,OnePlus Nord CE 4,25618.01,4,0.2,81977.63,76707.9,5269.73,Credit Card,3,4.8,No,Not Applicable,2025,11,November,Q4,6.43
ORD00057,2025-11-24,2025-11-30,Standard Delivery,CUST0133,Aditya Mehta,Corporate,Karnataka,Mysuru,India,6,Electronics,Televisions,Samsung 43-inch Smart TV,44355.98,5,0.0,221779.9,172439.33,49340.57,Credit Card,6,4.8,No,Not Applicable,2025,11,November,Q4,22.25
ORD00058,2025-02-09,2025-02-13,Standard Delivery,CUST0091,Rohan Das,Corporate,Uttar Pradesh,Lucknow,India,6,Electronics,Televisions,Samsung 43-inch Smart TV,42122.8,2,0.2,67396.48,65622.51,1773.97,UPI,4,4.5,No,Not Applicable,2025,2,February,Q1,2.63
ORD00059,2025-12-22,2025-12-26,Standard Delivery,CUST0155,Rohan Rao,Consumer,Rajasthan,Jaipur,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,50994.39,4,0.2,163182.05,169245.13,-6063.08,Cash on Delivery,4,4.2,No,Not Applicable,2025,12,December,Q4,-3.72
ORD00060,2025-01-12,2025-01-18,Standard Delivery,CUST0039,Ananya Patel,Small Business,Maharashtra,Mumbai,India,14,Home & Furniture,Furniture,Wooden Study Table,6299.27,1,0.1,5669.34,4466.71,1202.63,UPI,6,4.0,No,Not Applicable,2025,1,January,Q1,21.21
ORD00061,2025-03-15,2025-03-21,Standard Delivery,CUST0063,Arjun Kumar,Corporate,Telangana,Hyderabad,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,53786.49,1,0.2,43029.19,40423.91,2605.28,UPI,6,4.5,No,Not Applicable,2025,3,March,Q1,6.05
ORD00062,2025-07-29,2025-08-02,Standard Delivery,CUST0050,Sneha Reddy,Consumer,West Bengal,Kolkata,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32650.95,3,0.0,97952.85,72860.64,25092.21,Credit Card,4,3.2,No,Not Applicable,2025,7,July,Q3,25.62
ORD00063,2025-02-27,2025-03-01,Express Delivery,CUST0026,Manish Verma,Consumer,Maharashtra,Pune,India,4,Electronics,Laptops,HP 15s Laptop,56429.48,2,0.1,101573.06,92609.66,8963.4,UPI,2,3.5,No,Not Applicable,2025,2,February,Q1,8.82
ORD00064,2025-12-03,2025-12-04,Same Day Delivery,CUST0126,Rahul Shetty,Consumer,Maharashtra,Mumbai,India,15,Home & Furniture,Home Decor,LED Table Lamp,1288.36,2,0.1,2319.05,1479.68,839.37,Credit Card,1,4.7,No,Not Applicable,2025,12,December,Q4,36.19
ORD00065,2025-01-15,2025-01-18,Standard Delivery,CUST0162,Rahul Shetty,Consumer,Maharashtra,Mumbai,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32100.64,2,0.1,57781.15,48977.74,8803.41,UPI,3,4.0,No,Not Applicable,2025,1,January,Q1,15.24
ORD00066,2025-12-15,2025-12-19,Standard Delivery,CUST0172,Ananya Iyer,Corporate,Karnataka,Mysuru,India,3,Electronics,Smartphones,OnePlus Nord CE 4,24001.5,1,0.1,21601.35,19112.09,2489.26,Credit Card,4,4.0,No,Not Applicable,2025,12,December,Q4,11.52
ORD00067,2025-11-15,2025-11-22,Standard Delivery,CUST0117,Ravi Joshi,Consumer,Delhi,Delhi,India,11,Home Appliances,Refrigerators,LG 260L Refrigerator,28907.9,5,0.0,144539.5,116245.15,28294.35,Cash on Delivery,7,3.9,No,Not Applicable,2025,11,November,Q4,19.58
ORD00068,2025-06-28,2025-07-01,Standard Delivery,CUST0088,Divya Das,Consumer,Maharashtra,Mumbai,India,14,Home & Furniture,Furniture,Wooden Study Table,6560.43,1,0.1,5904.39,4554.67,1349.72,UPI,3,4.5,No,Not Applicable,2025,6,June,Q2,22.86
ORD00069,2025-10-16,2025-10-20,Standard Delivery,CUST0158,Divya Rao,Consumer,Karnataka,Mysuru,India,7,Electronics,Audio,Sony WH-1000XM5 Headphones,30444.56,1,0.1,27400.1,22905.79,4494.31,UPI,4,5.0,No,Not Applicable,2025,10,October,Q4,16.4
ORD00070,2025-09-21,2025-09-27,Standard Delivery,CUST0072,Aditya Mishra,Consumer,Kerala,Thiruvananthapuram,India,20,Beauty & Personal Care,Hair Care,Mamaearth Shampoo,578.88,1,0.15,492.05,337.82,154.23,Credit Card,6,4.0,No,Not Applicable,2025,9,September,Q3,31.34
ORD00071,2025-10-24,2025-10-25,Same Day Delivery,CUST0106,Vikram Kumar,Consumer,Telangana,Warangal,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32941.47,1,0.0,32941.47,24578.82,8362.65,UPI,1,4.5,No,Not Applicable,2025,10,October,Q4,25.39
ORD00072,2025-11-03,2025-11-08,Standard Delivery,CUST0044,Pooja Patel,Corporate,Gujarat,Surat,India,19,Beauty & Personal Care,Skincare,Lakme Face Cream,725.55,1,0.25,544.16,393.52,150.64,UPI,5,4.6,Yes,Wrong Product,2025,11,November,Q4,27.68
ORD00073,2025-11-28,2025-12-03,Standard Delivery,CUST0049,Aditya Rao,Consumer,Uttar Pradesh,Noida,India,20,Beauty & Personal Care,Hair Care,Mamaearth Shampoo,611.83,2,0.15,1040.11,660.19,379.92,Debit Card,5,4.8,Yes,Wrong Product,2025,11,November,Q4,36.53
ORD00074,2025-09-19,2025-09-21,Express Delivery,CUST0039,Ananya Patel,Small Business,Tamil Nadu,Madurai,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32849.89,2,0.1,59129.8,49207.38,9922.42,Debit Card,2,5.0,No,Not Applicable,2025,9,September,Q3,16.78
ORD00075,2025-01-14,2025-01-19,Standard Delivery,CUST0078,Nikhil Mishra,Consumer,Gujarat,Ahmedabad,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,51283.27,1,0.1,46154.94,41263.5,4891.44,Debit Card,5,3.3,No,Not Applicable,2025,1,January,Q1,10.6
ORD00076,2025-01-28,2025-01-31,Standard Delivery,CUST0066,Rohan Joshi,Corporate,Uttar Pradesh,Lucknow,India,1,Electronics,Smartphones,Samsung Galaxy S24,72629.96,3,0.0,217889.88,161550.83,56339.05,UPI,3,4.8,No,Not Applicable,2025,1,January,Q1,25.86
ORD00077,2025-09-23,2025-09-26,Standard Delivery,CUST0076,Arjun Sharma,Consumer,Uttar Pradesh,Lucknow,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,53866.57,1,0.1,48479.91,40670.93,7808.98,Cash on Delivery,3,4.9,No,Not Applicable,2025,9,September,Q3,16.11
ORD00078,2025-02-13,2025-02-20,Standard Delivery,CUST0056,Aarav Verma,Consumer,Delhi,New Delhi,India,6,Electronics,Televisions,Samsung 43-inch Smart TV,42206.96,1,0.0,42206.96,32609.74,9597.22,UPI,7,3.8,No,Not Applicable,2025,2,February,Q1,22.74
ORD00079,2025-07-17,2025-07-24,Standard Delivery,CUST0059,Pooja Gupta,Small Business,Tamil Nadu,Chennai,India,19,Beauty & Personal Care,Skincare,Lakme Face Cream,726.21,1,0.0,726.21,400.88,325.33,Debit Card,7,4.3,No,Not Applicable,2025,7,July,Q3,44.8
ORD00080,2025-06-27,2025-07-03,Standard Delivery,CUST0151,Sneha Sharma,Small Business,Kerala,Thiruvananthapuram,India,13,Home & Furniture,Furniture,Nilkamal Office Chair,8148.04,1,0.2,6518.43,5486.56,1031.87,UPI,6,2.2,No,Not Applicable,2025,6,June,Q2,15.83
ORD00081,2025-03-27,2025-03-30,Standard Delivery,CUST0175,Arjun Verma,Corporate,Kerala,Kochi,India,11,Home Appliances,Refrigerators,LG 260L Refrigerator,29263.31,2,0.1,52673.96,47018.18,5655.78,Net Banking,3,3.6,No,Not Applicable,2025,3,March,Q1,10.74
ORD00082,2025-05-22,2025-05-25,Express Delivery,CUST0053,Manish Gupta,Corporate,Kerala,Kochi,India,2,Electronics,Smartphones,Apple iPhone 15,72568.36,5,0.0,362841.8,268491.91,94349.89,Debit Card,3,4.6,No,Not Applicable,2025,5,May,Q2,26.0
ORD00083,2025-11-20,2025-11-26,Standard Delivery,CUST0098,Manish Iyer,Consumer,Telangana,Warangal,India,4,Electronics,Laptops,HP 15s Laptop,59206.79,2,0.15,100651.54,92626.06,8025.48,UPI,6,3.1,No,Not Applicable,2025,11,November,Q4,7.97
ORD00084,2025-11-12,2025-11-15,Express Delivery,CUST0093,Ananya Das,Consumer,Telangana,Hyderabad,India,17,Fashion,Womens Wear,Biba Kurti,2516.41,2,0.0,5032.82,2842.31,2190.51,Credit Card,3,3.3,No,Not Applicable,2025,11,November,Q4,43.52
ORD00085,2025-11-24,2025-11-29,Standard Delivery,CUST0048,Sneha Mishra,Small Business,Uttar Pradesh,Lucknow,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,31340.14,1,0.1,28206.13,24965.04,3241.09,Cash on Delivery,5,4.7,No,Not Applicable,2025,11,November,Q4,11.49
ORD00086,2025-04-17,2025-04-20,Standard Delivery,CUST0080,Rahul Joshi,Consumer,Delhi,Delhi,India,15,Home & Furniture,Home Decor,LED Table Lamp,1253.3,1,0.2,1002.64,769.55,233.09,Credit Card,3,4.2,No,Not Applicable,2025,4,April,Q2,23.25
ORD00087,2025-02-21,2025-02-22,Same Day Delivery,CUST0027,Rohan Patel,Small Business,West Bengal,Howrah,India,3,Electronics,Smartphones,OnePlus Nord CE 4,25434.25,2,0.0,50868.5,37771.78,13096.72,Cash on Delivery,1,3.9,No,Not Applicable,2025,2,February,Q1,25.75
ORD00088,2025-11-08,2025-11-13,Standard Delivery,CUST0170,Divya Mehta,Small Business,Maharashtra,Pune,India,7,Electronics,Audio,Sony WH-1000XM5 Headphones,30053.58,3,0.05,85652.7,65929.83,19722.87,Credit Card,5,4.3,No,Not Applicable,2025,11,November,Q4,23.03
ORD00089,2025-01-26,2025-02-01,Standard Delivery,CUST0009,Simran Kumar,Consumer,Delhi,Delhi,India,10,Home Appliances,Kitchen Appliances,Prestige Mixer Grinder,4893.77,4,0.05,18596.33,14235.64,4360.69,Credit Card,6,3.9,No,Not Applicable,2025,1,January,Q1,23.45
ORD00090,2025-08-30,2025-09-02,Express Delivery,CUST0069,Sneha Rao,Consumer,Maharashtra,Nagpur,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,30955.35,3,0.05,88222.75,72856.37,15366.38,Credit Card,3,3.8,No,Not Applicable,2025,8,August,Q3,17.42
